pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
TOI-700d,1.19,1.25,5,269,0.163,0,3480,0.415,0.42,0.022,1
Kepler-186 e,1.27,2.15,5.77,319,0.11,0,3788,0.478,0.472,-1.385,1
Proxima Centauri b,1.1,1.27,5.5,234,0.0485,0,3042,0.12,0.14,-2.01,1
TRAPPIST-1 d,0.772,0.41,3.9,288,0.022,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 e,0.918,0.62,5.6,251,0.029,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 f,1.045,0.68,4,219,0.038,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 g,1.148,1.34,4.9,195,0.046,0,2559,0.089,0.121,-2.7,1
Kepler-186 f,1.17,1.4,5,188,0.356,0,3755,0.54,0.52,-1.3,1
Kepler-62 f,1.41,2.8,5.5,208,0.718,0,4925,0.69,0.64,-0.6,1
Kepler-452 b,1.63,5,5,265,1.05,0,5757,1.04,1.11,0.085,1
Kepler-69 c,1.71,5,5,299,0.64,0,5638,0.81,0.93,-0.1,1
TOI-700 d,1.19,1.7,5.5,269,0.163,0,3480,0.42,0.42,-1.64,1
Earth,1,1,5.5,288,1,0.0167,5778,1,1,1,1
Ross 128 b,1.1,1.35,5.5,294,0.049,0,3192,0.17,0.21,-2,1
Wolf 1061 c,1.6,4.3,5.5,223,0.084,0,3300,0.25,0.32,-1.8,1
Teegarden's Star b,1,1.05,5.5,270,0.025,0,3030,0.089,0.11,-2.6,1
Kepler-442 b,1.34,2.36,5.39,241,0.409,0.04,4402,0.609,0.598,-0.932,1
TOI-2095 c,1.33,7.4,,297,0.137,0,3759,0.44,0.44,-1.45892,1
TOI-700 e,0.953,0.818,5.19,272.9,0.134,0.059,3459,0.415,0.421,-1.64016,1
L 98-59 f,1.48,2.8,5,285,0.1052,0.044,3415,0.2923,0.3155,-1.91364,1
Kepler-438 b,1.12,1.46,5.71,288,0.166,0.03,3748,0.544,0.52,-1.357,1
LHS 1140 b,1.73,6.98,7.5,230,0.0936,0,3131,0.15,0.19,-2.3,1
Gliese 1061 c,1.3,1.74,5.5,274,0.035,0,2953,0.12,0.15,-2.3,1
Gliese 1061 d,1.4,1.68,5.5,230,0.054,0,2953,0.12,0.15,-2.3,1
GJ 357 d,1.9,6.1,5.5,219,0.204,0,3505,0.34,0.34,-1.6,1
kepler-442c,1.52,3.9,5.5,244,0.38,0,4380,0.61,0.59,-0.7,1
kepler-440b,1.86,5,5.5,273,0.24,0.1,4134,0.57,0.56,-1,1
kepler-296f,2.3,3.89,5.5,246,0.26,0,3740,0.5,0.48,-1.3,1
TOI-700d,1.19,1.25,5,269,0.163,0,3480,0.415,0.42,0.022,1
Kepler-186 e,1.27,2.15,5.77,319,0.11,0,3788,0.478,0.472,-1.385,1
Proxima Centauri b,1.1,1.27,5.5,234,0.0485,0,3042,0.12,0.14,-2.01,1
TRAPPIST-1 d,0.772,0.41,3.9,288,0.022,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 e,0.918,0.62,5.6,251,0.029,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 f,1.045,0.68,4,219,0.038,0,2559,0.089,0.121,-2.7,1
TRAPPIST-1 g,1.148,1.34,4.9,195,0.046,0,2559,0.089,0.121,-2.7,1
Kepler-186 f,1.17,1.4,5,188,0.356,0,3755,0.54,0.52,-1.3,1
Kepler-62 f,1.41,2.8,5.5,208,0.718,0,4925,0.69,0.64,-0.6,1
Kepler-452 b,1.63,5,5,265,1.05,0,5757,1.04,1.11,0.085,1
Kepler-69 c,1.71,5,5,299,0.64,0,5638,0.81,0.93,-0.1,1
TOI-700 d,1.19,1.7,5.5,269,0.163,0,3480,0.42,0.42,-1.64,1
Earth,1,1,5.5,288,1,0.0167,5778,1,1,1,1
Ross 128 b,1.1,1.35,5.5,294,0.049,0,3192,0.17,0.21,-2,1
Wolf 1061 c,1.6,4.3,5.5,223,0.084,0,3300,0.25,0.32,-1.8,1
Teegarden's Star b,1,1.05,5.5,270,0.025,0,3030,0.089,0.11,-2.6,1
Kepler-442 b,1.34,2.36,5.39,241,0.409,0.04,4402,0.609,0.598,-0.932,1
TOI-2095 c,1.33,7.4,,297,0.137,0,3759,0.44,0.44,-1.45892,1
TOI-700 e,0.953,0.818,5.19,272.9,0.134,0.059,3459,0.415,0.421,-1.64016,1
L 98-59 f,1.48,2.8,5,285,0.1052,0.044,3415,0.2923,0.3155,-1.91364,1
Kepler-438 b,1.12,1.46,5.71,288,0.166,0.03,3748,0.544,0.52,-1.357,1
LHS 1140 b,1.73,6.98,7.5,230,0.0936,0,3131,0.15,0.19,-2.3,1
Gliese 1061 c,1.3,1.74,5.5,274,0.035,0,2953,0.12,0.15,-2.3,1
Gliese 1061 d,1.4,1.68,5.5,230,0.054,0,2953,0.12,0.15,-2.3,1
GJ 357 d,1.9,6.1,5.5,219,0.204,0,3505,0.34,0.34,-1.6,1
kepler-442c,1.52,3.9,5.5,244,0.38,0,4380,0.61,0.59,-0.7,1
kepler-440b,1.86,5,5.5,273,0.24,0.1,4134,0.57,0.56,-1,1
kepler-296f,2.3,3.89,5.5,246,0.26,0,3740,0.5,0.48,-1.3,1
TOI-700d,1.19,1.25,5,269,0.163,0,3480,0.415,0.42,0.022,1
Kepler-186 e,1.27,2.15,5.77,319,0.11,0,3788,0.478,0.472,-1.385,1
